Date;Water;Power(low time);Power(peak time)
2011-07-28;0.50;0.00;13.67
2011-08-10;0.87;0.00;11.92
2011-08-28;1.09;0.00;14.83
2011-09-13;0.80;0.00;12.38
2011-09-14;1.00;8.00;21.00
2011-09-21;0.62;3.57;10.71
2011-09-25;0.93;5.25;10.25
2011-10-02;0.73;3.29;9.00
2011-10-09;0.59;3.29;9.57
2011-10-15;0.36;4.67;10.17
2011-10-30;0.34;7.60;18.00
2011-11-11;0.37;8.33;18.92
2011-11-16;0.37;12.00;25.20
2011-11-30;0.32;12.93;25.64
2011-12-04;0.32;12.75;28.00
2011-12-07;0.37;15.00;30.00
2011-12-11;0.32;17.25;32.75
2011-12-17;0.33;18.17;36.17
2011-12-23;0.40;17.50;37.33
2011-12-28;0.56;21.20;44.40
2012-01-05;0.16;9.50;16.38
2012-01-12;0.39;19.57;38.57
2012-01-18;0.38;16.83;35.00
2012-01-19;0.26;18.00;36.00
2012-02-08;0.27;17.75;34.55
2012-02-15;0.34;19.86;36.29
2012-02-22;0.32;12.71;23.71
2012-02-29;0.35;11.29;22.29
2012-03-02;0.40;11.00;19.50
2012-03-10;0.03;2.75;5.13
2012-03-15;0.62;10.60;20.60
2012-03-19;0.31;11.00;23.25
2012-03-21;0.38;12.50;23.00
2012-03-26;0.40;9.00;17.20
2012-03-28;5.99;7.50;16.00
2012-03-29;0.28;7.00;10.00
2012-04-09;0.42;6.73;13.45
2012-04-23;0.33;10.14;19.43
2012-04-25;0.44;9.50;22.50
2012-05-01;0.49;4.33;12.83
2012-05-03;0.44;3.00;8.50
2012-05-09;0.51;3.33;9.50
2012-05-23;0.28;3.07;7.57
2012-05-30;0.36;3.29;8.43
2012-06-03;0.40;3.75;8.00
2012-06-13;0.30;3.80;9.10
2012-06-14;2.26;4.00;7.00
2012-06-20;0.12;4.67;10.17
2012-06-28;0.31;3.38;8.25
2012-07-05;0.80;3.86;10.57
2012-07-11;0.40;3.33;9.17
2012-07-22;0.80;4.09;9.00
2012-07-25;0.55;6.00;11.00
2012-07-28;0.85;3.67;9.00
2012-08-01;0.65;3.00;9.25
2012-08-04;0.39;3.33;8.67
2012-08-15;1.24;4.00;10.55
2012-08-22;1.03;4.14;10.71
2012-08-26;0.01;3.25;5.75
2012-08-29;1.02;4.67;9.33
2012-09-05;0.30;3.14;8.29
2012-09-12;0.49;2.86;10.71
2012-09-19;0.27;4.14;8.71
2012-09-24;0.69;3.00;10.80
2012-09-26;0.20;4.50;7.00
2012-09-30;0.35;3.25;11.25
2012-10-03;0.21;3.00;7.00
2012-10-10;0.32;3.43;8.86
2012-10-17;0.29;3.29;9.14
2012-10-21;0.38;3.25;9.50
2012-10-28;0.37;3.14;10.29
2012-10-31;0.47;15.67;36.33
2012-11-04;0.06;4.50;4.50
2012-11-14;0.39;11.40;25.60
2012-11-17;0.26;9.00;13.00
2012-11-29;0.33;11.00;25.00
2012-12-01;0.20;17.00;35.00
2012-12-09;0.44;18.75;45.88
2012-12-16;0.38;18.86;41.71
2012-12-27;0.31;16.55;32.82
2012-12-31;0.36;16.75;36.75
2013-01-02;0.47;21.50;47.00
2013-01-06;0.32;17.00;33.25
2013-01-15;0.32;18.33;40.56
2013-01-22;0.42;24.43;53.71
2013-01-27;0.08;15.00;27.80
2013-02-14;0.34;19.06;40.33
2013-02-23;0.05;16.33;27.78
2013-03-04;0.44;21.22;45.56
2013-03-07;0.26;9.67;18.00
2013-03-12;0.31;16.00;33.40
2013-03-24;0.29;17.92;36.83
2013-03-30;0.34;13.50;28.17
2013-04-08;0.38;12.22;34.33
2013-04-14;0.36;10.33;19.00
2013-04-23;0.41;7.22;17.00
2013-04-30;0.42;7.14;16.86
2013-05-09;0.33;3.56;9.22
2013-05-12;0.65;4.33;15.67
2013-05-29;0.36;3.24;9.06
2013-06-13;0.40;3.60;9.07
2013-06-17;0.63;6.75;11.50
2013-06-26;0.39;3.44;8.56
2013-06-29;0.35;4.67;9.67
2013-07-13;0.82;4.29;8.71
2013-08-08;0.28;3.35;6.15
2013-08-13;2.11;4.20;8.60
2013-08-19;0.08;2.33;5.00
2013-09-07;0.64;3.63;9.16
2013-09-18;0.40;2.64;8.36
2013-09-24;0.61;2.83;10.50
2013-10-13;0.33;2.58;7.37
2013-10-27;0.37;2.79;9.29
2013-11-11;0.38;4.67;12.47
2013-11-20;0.38;12.89;29.67
2013-11-28;0.50;24.25;52.25
2013-12-10;0.27;12.67;27.33
2014-01-03;
2014-01-05;0.62;22.50;47.00
2014-01-20;0.34;13.40;25.93
2014-01-27;0.27;18.86;35.86
2014-02-03;0.41;17.00;38.71
2014-03-01;0.27;14.46;29.04
2014-03-18;0.45;15.47;30.53
2014-03-21;0.33;10.67;21.00
2014-04-09;0.40;11.00;24.53
2014-05-14;0.46;3.86;11.69
2014-05-22;0.34;2.75;8.25
2014-05-26;0.40;2.75;7.75
2014-06-02;1.09;4.86;15.00
2014-06-04;5.24;3.00;9.50
2014-06-21;0.45;3.76;9.76
2014-07-06;0.39;4.47;10.00
2014-07-12;0.46;3.83;9.33
2014-07-20;0.09;1.75;3.75
2014-08-21;0.30;3.19;7.81
2014-08-25;0.56;4.50;13.50
;
